sample_id,mission_type,description_text,clip_match_score,predicted_activity_class,activity_class_confidence,person_count_pred,trash_bag_detected,recyclable_item_detected,recycle_bin_detected,litter_picker_detected,image_quality_score,text_length,mission_match_flag,final_label
s91,kindness_activity,kindness_activity description 91,0.8,kindness_activity,0.7384,0,0,0,1,1,0.6455,27,1,needs_review
s92,energy_saving,energy_saving description 92,0.5988,energy_saving,0.4128,2,0,1,0,1,0.2372,78,1,rejected
s93,recycling,recycling description 93,0.8285,recycling,0.7676,2,1,0,0,1,0.8836,27,1,needs_review
s94,jogging_group,jogging_group description 94,0.7807,jogging_group,0.7198,2,1,1,1,1,0.5442,32,1,needs_review
s95,energy_saving,energy_saving description 95,0.3568,energy_saving,0.7303,4,0,0,1,1,0.4239,18,1,rejected
s96,energy_saving,energy_saving description 96,0.1543,energy_saving,0.742,2,1,1,0,0,0.588,35,1,rejected
s97,group_cleanup,group_cleanup description 97,0.7846,group_cleanup,0.714,5,1,0,0,1,0.9481,38,1,approved
s98,energy_saving,energy_saving description 98,0.4439,energy_saving,0.7023,4,0,1,0,1,0.8799,50,1,rejected
s99,jogging_group,jogging_group description 99,0.3552,jogging_group,0.425,0,1,0,1,0,0.9102,47,1,rejected
s100,group_cleanup,group_cleanup description 100,0.2889,group_cleanup,0.9013,3,1,1,1,1,0.5478,20,1,needs_review
s101,energy_saving,energy_saving description 101,0.1456,energy_saving,0.7004,4,0,1,0,0,0.8506,53,1,rejected
s102,jogging_group,jogging_group description 102,0.3536,recycling,0.3948,1,1,1,1,0,0.4373,28,0,rejected
s103,group_cleanup,group_cleanup description 103,0.5144,group_cleanup,0.422,5,0,0,1,1,0.357,26,1,needs_review
s104,jogging_group,jogging_group description 104,0.7498,jogging_group,0.8269,0,0,1,1,1,0.5218,66,1,needs_review
s105,energy_saving,energy_saving description 105,0.104,energy_saving,0.8042,0,1,0,0,0,0.67,36,1,rejected
s106,recycling,recycling description 106,0.6895,recycling,0.389,3,1,0,0,0,0.4237,42,1,rejected
s107,energy_saving,energy_saving description 107,0.7187,energy_saving,0.5331,5,0,1,1,1,0.7626,26,1,needs_review
s108,energy_saving,energy_saving description 108,0.1163,energy_saving,0.9796,1,0,0,0,1,0.7333,9,1,rejected
s109,energy_saving,energy_saving description 109,0.8451,energy_saving,0.669,0,0,0,0,0,0.7173,58,1,needs_review
s110,energy_saving,energy_saving description 110,0.4232,energy_saving,0.6273,1,0,0,1,1,0.6962,71,1,rejected
s111,kindness_activity,kindness_activity description 111,0.6294,kindness_activity,0.589,0,0,1,0,0,0.5733,30,1,rejected
s112,kindness_activity,kindness_activity description 112,0.8068,kindness_activity,0.547,3,1,0,0,1,0.8828,66,1,needs_review
s113,kindness_activity,kindness_activity description 113,0.2993,group_cleanup,0.9257,4,1,0,0,0,0.7427,17,0,rejected
s114,kindness_activity,kindness_activity description 114,0.6477,kindness_activity,0.9743,2,1,0,0,0,0.8556,42,1,needs_review
s115,kindness_activity,kindness_activity description 115,0.7814,kindness_activity,0.8096,0,0,0,0,0,0.4465,61,1,needs_review
s116,jogging_group,jogging_group description 116,0.3281,jogging_group,0.5571,2,0,0,1,1,0.9217,39,1,needs_review
s117,energy_saving,energy_saving description 117,0.6864,energy_saving,0.591,1,0,0,0,0,0.2778,80,1,rejected
s118,energy_saving,energy_saving description 118,0.7819,energy_saving,0.4251,3,1,0,0,1,0.8903,19,1,needs_review
s119,energy_saving,energy_saving description 119,0.4746,kindness_activity,0.3085,5,0,1,0,1,0.6963,36,0,rejected
s120,energy_saving,energy_saving description 120,0.3939,energy_saving,0.5656,4,0,0,0,1,0.8389,26,1,rejected
s121,group_cleanup,group_cleanup description 121,0.7387,group_cleanup,0.5283,2,0,0,1,1,0.8128,15,1,approved
s122,energy_saving,energy_saving description 122,0.4776,energy_saving,0.3607,3,1,1,0,1,0.7589,7,1,rejected
s123,group_cleanup,group_cleanup description 123,0.4429,jogging_group,0.3001,0,1,0,1,1,0.4725,11,0,needs_review
s124,recycling,recycling description 124,0.8177,recycling,0.8295,4,1,1,1,0,0.2731,33,1,needs_review
s125,group_cleanup,group_cleanup description 125,0.3902,group_cleanup,0.9655,2,1,0,0,0,0.5693,57,1,needs_review
s126,group_cleanup,group_cleanup description 126,0.3161,group_cleanup,0.9418,3,0,1,0,1,0.2808,58,1,rejected
s127,group_cleanup,group_cleanup description 127,0.8876,group_cleanup,0.7063,3,1,0,1,0,0.5978,11,1,approved
s128,jogging_group,jogging_group description 128,0.895,jogging_group,0.6332,4,0,0,0,0,0.4906,46,1,approved
s129,jogging_group,jogging_group description 129,0.8492,jogging_group,0.7202,5,0,1,1,1,0.9279,62,1,approved
s130,recycling,recycling description 130,0.2175,recycling,0.9116,4,1,1,0,0,0.3573,42,1,rejected
s131,kindness_activity,kindness_activity description 131,0.883,recycling,0.6477,5,1,0,1,1,0.6371,58,0,needs_review
s132,jogging_group,jogging_group description 132,0.343,jogging_group,0.8577,4,0,0,1,0,0.2398,12,1,rejected
s133,recycling,recycling description 133,0.3269,recycling,0.9786,5,1,0,0,1,0.353,74,1,rejected
s134,group_cleanup,group_cleanup description 134,0.4049,group_cleanup,0.7251,5,0,1,0,1,0.7197,11,1,needs_review
s135,energy_saving,energy_saving description 135,0.4294,energy_saving,0.9733,2,0,0,1,0,0.6654,61,1,rejected
s136,recycling,recycling description 136,0.8748,recycling,0.7469,4,0,0,1,1,0.3331,14,1,needs_review
s137,recycling,recycling description 137,0.9181,recycling,0.3824,0,1,1,1,0,0.3207,37,1,approved
s138,group_cleanup,group_cleanup description 138,0.381,group_cleanup,0.4068,1,1,0,1,1,0.7924,75,1,needs_review
s139,kindness_activity,kindness_activity description 139,0.1619,kindness_activity,0.6625,1,0,0,1,1,0.269,33,1,rejected
s140,recycling,recycling description 140,0.6638,recycling,0.5026,4,1,0,0,1,0.5343,36,1,rejected
s141,group_cleanup,group_cleanup description 141,0.6802,group_cleanup,0.932,0,1,1,1,0,0.8835,52,1,needs_review
s142,jogging_group,jogging_group description 142,0.7824,jogging_group,0.3303,5,0,1,0,0,0.3255,73,1,needs_review
s143,jogging_group,jogging_group description 143,0.1062,recycling,0.8968,3,0,0,1,0,0.7602,24,0,rejected
s144,group_cleanup,group_cleanup description 144,0.4903,group_cleanup,0.3604,0,0,1,0,0,0.8832,57,1,rejected
s145,energy_saving,energy_saving description 145,0.4835,energy_saving,0.5183,3,0,0,0,0,0.7257,14,1,rejected
s146,kindness_activity,kindness_activity description 146,0.8888,kindness_activity,0.7185,2,1,1,1,0,0.5555,73,1,needs_review
s147,recycling,recycling description 147,0.2159,recycling,0.8503,4,1,0,1,1,0.918,6,1,rejected
s148,jogging_group,jogging_group description 148,0.8436,group_cleanup,0.3035,4,1,0,1,0,0.7612,49,0,approved
s149,recycling,recycling description 149,0.4508,recycling,0.6537,1,0,0,1,0,0.286,77,1,needs_review
s150,group_cleanup,group_cleanup description 150,0.8237,group_cleanup,0.9861,3,0,1,0,1,0.2737,79,1,needs_review
s151,energy_saving,energy_saving description 151,0.9088,energy_saving,0.7632,1,0,1,0,0,0.4383,62,1,needs_review
s152,kindness_activity,kindness_activity description 152,0.6239,kindness_activity,0.7031,4,1,1,1,0,0.2036,36,1,rejected
s153,recycling,recycling description 153,0.7054,recycling,0.4909,2,0,1,1,1,0.534,44,1,needs_review
s154,energy_saving,energy_saving description 154,0.5689,jogging_group,0.3566,2,0,0,1,0,0.7456,7,0,rejected
s155,jogging_group,jogging_group description 155,0.6369,jogging_group,0.6994,4,0,0,1,1,0.6904,24,1,needs_review
s156,kindness_activity,kindness_activity description 156,0.4336,kindness_activity,0.7068,2,0,1,0,1,0.4729,6,1,rejected
s157,recycling,recycling description 157,0.8208,recycling,0.7237,1,0,1,0,0,0.6248,77,1,approved
s158,recycling,recycling description 158,0.7255,recycling,0.5476,1,1,0,0,1,0.4771,10,1,rejected
s159,recycling,recycling description 159,0.5402,recycling,0.5678,3,0,0,1,0,0.7278,71,1,needs_review
s160,kindness_activity,kindness_activity description 160,0.8096,kindness_activity,0.6756,1,1,1,1,0,0.5875,53,1,needs_review
s161,recycling,recycling description 161,0.5389,recycling,0.8987,3,1,0,0,1,0.3242,14,1,rejected
s162,jogging_group,jogging_group description 162,0.647,jogging_group,0.429,2,0,0,1,1,0.7402,66,1,needs_review
s163,energy_saving,energy_saving description 163,0.5072,energy_saving,0.7466,3,0,0,0,0,0.6301,25,1,rejected
s164,recycling,recycling description 164,0.6351,jogging_group,0.4013,1,1,0,1,0,0.8589,41,0,needs_review
s165,group_cleanup,group_cleanup description 165,0.2841,group_cleanup,0.6253,3,0,0,1,0,0.796,28,1,needs_review
s166,jogging_group,jogging_group description 166,0.6607,jogging_group,0.7997,2,1,0,0,1,0.4891,18,1,needs_review
s167,group_cleanup,group_cleanup description 167,0.272,group_cleanup,0.648,3,0,0,0,1,0.8762,9,1,rejected
s168,jogging_group,jogging_group description 168,0.5278,energy_saving,0.755,4,0,1,1,1,0.8561,72,0,needs_review
s169,energy_saving,energy_saving description 169,0.2951,energy_saving,0.8448,3,1,0,1,0,0.3909,34,1,rejected
s170,group_cleanup,group_cleanup description 170,0.3408,group_cleanup,0.582,1,0,0,0,0,0.4813,31,1,rejected
s171,kindness_activity,kindness_activity description 171,0.4475,energy_saving,0.7496,2,1,1,1,1,0.9438,55,0,rejected
s172,recycling,recycling description 172,0.4512,recycling,0.6329,2,1,1,1,1,0.7806,55,1,needs_review
s173,recycling,recycling description 173,0.8267,recycling,0.816,3,0,0,0,1,0.7896,75,1,needs_review
s174,jogging_group,jogging_group description 174,0.6925,jogging_group,0.4109,5,0,0,0,1,0.8944,60,1,needs_review
s175,group_cleanup,group_cleanup description 175,0.1545,group_cleanup,0.3552,0,1,1,1,0,0.9093,27,1,rejected
s176,energy_saving,energy_saving description 176,0.4731,energy_saving,0.7533,4,1,0,0,0,0.6614,9,1,rejected
s177,kindness_activity,kindness_activity description 177,0.3034,recycling,0.3599,2,1,1,1,1,0.6396,71,0,rejected
s178,group_cleanup,group_cleanup description 178,0.7264,group_cleanup,0.6792,5,1,1,1,0,0.6548,29,1,approved
s179,energy_saving,energy_saving description 179,0.8903,energy_saving,0.4802,3,0,0,1,1,0.9103,70,1,needs_review
s180,kindness_activity,kindness_activity description 180,0.8447,kindness_activity,0.6967,5,1,1,1,0,0.7681,63,1,needs_review
s181,energy_saving,energy_saving description 181,0.862,energy_saving,0.6326,2,0,1,0,0,0.8001,57,1,needs_review
s182,kindness_activity,kindness_activity description 182,0.539,kindness_activity,0.4713,0,1,1,0,0,0.5574,50,1,rejected
s183,recycling,recycling description 183,0.8602,recycling,0.9535,5,0,1,0,0,0.7516,38,1,approved
s184,recycling,recycling description 184,0.2948,recycling,0.8771,2,0,0,0,0,0.7069,68,1,rejected
s185,jogging_group,jogging_group description 185,0.1056,jogging_group,0.961,3,1,1,1,1,0.5681,70,1,rejected
s186,kindness_activity,kindness_activity description 186,0.4382,kindness_activity,0.3885,4,1,1,0,1,0.4953,27,1,rejected
s187,energy_saving,energy_saving description 187,0.93,energy_saving,0.6174,5,0,0,0,1,0.6358,46,1,needs_review
s188,kindness_activity,kindness_activity description 188,0.6209,kindness_activity,0.6785,1,1,1,1,1,0.3379,59,1,rejected
s189,recycling,recycling description 189,0.4562,recycling,0.5519,3,1,1,0,0,0.9345,34,1,needs_review
s190,group_cleanup,group_cleanup description 190,0.7127,group_cleanup,0.6832,3,0,0,0,1,0.8043,27,1,needs_review
s191,energy_saving,energy_saving description 191,0.5247,energy_saving,0.8861,4,1,1,1,1,0.6216,77,1,rejected
s192,group_cleanup,group_cleanup description 192,0.4386,group_cleanup,0.3414,2,1,0,1,1,0.3948,51,1,needs_review
s193,jogging_group,jogging_group description 193,0.5739,jogging_group,0.5375,3,0,1,0,0,0.9345,41,1,needs_review
s194,kindness_activity,kindness_activity description 194,0.3763,kindness_activity,0.8346,3,0,1,1,1,0.6738,23,1,rejected
s195,recycling,recycling description 195,0.6445,recycling,0.5911,4,1,0,0,0,0.4577,45,1,rejected
s196,kindness_activity,kindness_activity description 196,0.6551,kindness_activity,0.7177,3,1,1,1,1,0.5105,28,1,rejected
s197,group_cleanup,group_cleanup description 197,0.2063,group_cleanup,0.4736,5,0,0,0,1,0.2773,13,1,rejected
s198,energy_saving,energy_saving description 198,0.5662,energy_saving,0.6615,0,0,1,0,0,0.6911,54,1,rejected
s199,kindness_activity,kindness_activity description 199,0.295,kindness_activity,0.6058,1,0,0,0,0,0.6977,46,1,rejected
